date,origin_port,destination_port,cargo_type,freight_rate,bdi,oil_price,commodity_price,commodity_demand,weather_disruption,port_congestion,usd_index
2021-09-03,Mumbai,Rotterdam,Steel,1817.41,1128.96,63.75,91.3,90.03,1,27.91,94.47
2021-09-04,Shanghai,Los Angeles,Steel,1848.45,1133.53,63.65,90.95,92.01,0,27.23,97.87
2021-09-05,Shanghai,Rotterdam,Coal,2001.13,1134.69,63.61,90.7,85.23,0,54.49,97.47
2021-09-06,Shanghai,Los Angeles,Iron Ore,2516.08,1136.51,63.79,90.53,89.94,0,40.49,93.34
2021-09-07,Mumbai,Rotterdam,Steel,1876.53,1122.07,63.66,90.64,94.56,1,42.26,98.32
2021-09-08,Shanghai,Rotterdam,Coal,2133.78,1128.39,63.62,90.46,93.98,1,46.25,96.45
2021-09-09,Shanghai,Los Angeles,Steel,2342.86,1127.25,63.46,89.96,89.35,0,47.34,96.87
2021-09-10,Shanghai,Los Angeles,Steel,1918.54,1121.19,63.26,90.15,91.73,0,46.61,94.96
2021-09-11,Mumbai,Rotterdam,Iron Ore,1798.2,1119.38,63.1,89.86,86.46,0,38.87,98.15
2021-09-12,Shanghai,Rotterdam,Steel,2255.03,1102.34,62.96,89.76,94.04,0,56.39,94.43
2021-09-13,Mumbai,Rotterdam,Coal,1702.89,1102.93,62.95,89.79,90.08,0,54.56,97.44
2021-09-14,Shanghai,Rotterdam,Steel,2537.73,1092.15,63.25,89.76,89.04,2,62.2,97.4
2021-09-15,Mumbai,Dubai,Iron Ore,1500.06,1078.93,63.08,89.96,88.56,0,40.82,94.69
2021-09-16,Singapore,Rotterdam,Iron Ore,2314.06,1064.5,62.96,90.02,90.01,0,49.86,99.11
2021-09-17,Singapore,Rotterdam,Coal,1766.86,1071.28,62.9,89.74,88.05,0,44.71,96.46
2021-09-18,Singapore,Rotterdam,Iron Ore,2511.78,1064.28,62.92,90.22,93.54,1,63.91,97.08
2021-09-19,Mumbai,Rotterdam,Steel,1666.12,1074.72,62.91,90.22,88.23,0,53.49,93.79
2021-09-20,Mumbai,Dubai,Iron Ore,1529.39,1068.76,63.06,90.13,98.14,0,24.73,99.25
2021-09-21,Shanghai,Rotterdam,Coal,1858.33,1053.56,62.66,90.32,97.47,0,23.71,94.22
2021-09-22,Shanghai,Los Angeles,Iron Ore,2274.47,1043.24,62.27,90.34,85.66,0,29.48,97.58
2021-09-23,Shanghai,Rotterdam,Iron Ore,2527.59,1051.88,62.17,90.41,90.44,1,62.64,94.55
2021-09-24,Shanghai,Los Angeles,Iron Ore,2110.21,1049.54,62.31,91.0,86.82,0,16.36,95.1
2021-09-25,Shanghai,Rotterdam,Coal,2121.48,1044.2,62.05,90.9,88.42,1,53.92,97.2
2021-09-26,Mumbai,Dubai,Iron Ore,1671.25,1044.68,61.58,90.8,100.05,0,45.44,97.56
2021-09-27,Shanghai,Los Angeles,Iron Ore,2434.55,1048.03,61.65,90.81,88.49,0,57.44,94.1
2021-09-28,Mumbai,Rotterdam,Steel,1834.87,1056.46,61.67,91.06,91.81,1,50.71,97.64
2021-09-29,Shanghai,Rotterdam,Coal,1819.74,1067.69,61.5,90.67,92.71,0,19.85,97.57
2021-09-30,Shanghai,Rotterdam,Iron Ore,2217.93,1064.6,61.35,90.17,85.0,0,25.61,94.59
2021-10-01,Shanghai,Los Angeles,Coal,1758.75,1053.93,61.2,90.02,85.72,0,22.27,98.4
2021-10-02,Mumbai,Rotterdam,Iron Ore,1827.12,1050.7,61.22,89.62,83.97,0,31.93,93.82
2021-10-03,Mumbai,Rotterdam,Iron Ore,1815.48,1053.02,61.13,89.52,85.58,0,37.26,95.07
2021-10-04,Mumbai,Dubai,Iron Ore,1717.21,1045.69,61.21,89.66,75.76,3,46.52,96.72
2021-10-05,Mumbai,Rotterdam,Steel,1933.95,1038.56,60.8,89.45,92.75,3,86.06,94.73
2021-10-06,Mumbai,Rotterdam,Steel,1711.85,1041.98,60.68,89.11,100.31,0,20.12,96.41
2021-10-07,Mumbai,Rotterdam,Steel,1793.95,1042.41,60.54,89.15,90.79,0,60.19,96.38
2021-10-08,Singapore,Rotterdam,Coal,1922.92,1043.64,60.52,89.4,82.99,0,57.78,95.75
2021-10-09,Mumbai,Dubai,Coal,1318.32,1038.69,60.47,89.01,86.88,0,53.47,97.29
2021-10-10,Shanghai,Rotterdam,Steel,1897.33,1038.11,60.62,89.25,87.83,0,29.59,95.71
2021-10-11,Shanghai,Los Angeles,Coal,1814.92,1032.13,60.37,89.5,85.06,0,45.14,96.41
2021-10-12,Shanghai,Rotterdam,Iron Ore,2228.8,1040.8,60.42,89.78,94.48,0,20.84,97.79
2021-10-13,Mumbai,Dubai,Iron Ore,1704.3,1050.78,60.54,90.14,94.27,0,53.66,97.27
2021-10-14,Shanghai,Los Angeles,Iron Ore,2003.66,1037.86,60.86,90.75,84.47,0,38.89,97.28
2021-10-15,Mumbai,Dubai,Steel,1424.06,1032.41,60.84,90.72,93.92,0,33.86,94.39
2021-10-16,Mumbai,Rotterdam,Coal,1624.97,1022.57,60.94,90.81,97.97,1,29.64,96.92
2021-10-17,Shanghai,Los Angeles,Steel,1839.7,1019.65,60.72,90.77,99.89,0,2.84,94.83
2021-10-18,Mumbai,Rotterdam,Coal,1530.86,1021.4,60.42,90.84,104.75,0,24.42,94.25
2021-10-19,Shanghai,Rotterdam,Iron Ore,2347.98,1012.36,60.61,91.3,85.97,0,56.69,96.08
2021-10-20,Shanghai,Rotterdam,Steel,2097.8,1007.68,60.67,91.05,104.65,0,33.96,94.86
2021-10-21,Shanghai,Los Angeles,Coal,1785.89,1002.49,60.92,90.92,88.82,0,37.46,97.42
2021-10-22,Shanghai,Los Angeles,Coal,1810.71,1007.13,60.78,91.35,87.69,0,49.83,97.48
2021-10-23,Mumbai,Dubai,Iron Ore,1927.45,1010.8,60.94,91.7,92.35,2,83.09,93.43
2021-10-24,Mumbai,Dubai,Steel,1417.6,1008.28,61.3,91.71,87.87,0,59.88,95.07
2021-10-25,Mumbai,Rotterdam,Steel,1561.59,1013.09,61.44,92.02,92.84,0,25.41,94.15
2021-10-26,Shanghai,Los Angeles,Steel,2062.33,1012.24,61.57,92.21,84.31,0,10.86,95.67
2021-10-27,Shanghai,Rotterdam,Iron Ore,2921.69,1013.73,61.65,92.7,89.79,2,91.39,97.08
2021-10-28,Mumbai,Dubai,Steel,1479.34,1030.91,61.51,92.83,97.49,1,82.03,96.06
2021-10-29,Mumbai,Dubai,Iron Ore,1614.27,1045.56,61.81,93.21,90.86,1,50.83,95.57
2021-10-30,Shanghai,Rotterdam,Iron Ore,2294.46,1039.23,61.81,93.99,91.93,0,20.94,98.44
2021-10-31,Mumbai,Dubai,Iron Ore,1970.85,1050.05,61.99,94.26,93.68,3,78.45,93.07
2021-11-01,Mumbai,Rotterdam,Coal,1430.68,1060.86,61.86,94.41,97.25,0,38.38,98.41
2021-11-02,Shanghai,Los Angeles,Steel,2172.96,1056.12,61.79,94.72,83.21,0,38.31,95.78
2021-11-03,Shanghai,Rotterdam,Steel,2493.33,1067.24,62.11,94.77,94.5,1,61.42,96.51
2021-11-04,Shanghai,Los Angeles,Iron Ore,2657.68,1084.23,62.17,95.5,90.33,2,61.02,95.88
2021-11-05,Mumbai,Dubai,Iron Ore,1682.78,1080.07,62.51,95.69,92.6,0,22.21,99.02
2021-11-06,Mumbai,Dubai,Steel,1526.62,1077.67,62.61,95.77,97.16,0,35.13,94.9
2021-11-07,Shanghai,Rotterdam,Iron Ore,2509.65,1090.87,62.46,95.72,85.99,0,49.92,96.8
2021-11-08,Mumbai,Rotterdam,Steel,1935.99,1098.22,62.72,96.14,87.0,0,47.65,97.62
2021-11-09,Singapore,Rotterdam,Coal,1955.61,1107.93,62.76,96.52,82.5,0,43.93,94.45
2021-11-10,Shanghai,Rotterdam,Iron Ore,2727.16,1116.07,62.99,96.56,89.54,2,70.0,95.53
2021-11-11,Singapore,Rotterdam,Steel,2137.06,1124.72,63.13,96.87,99.04,0,34.57,96.73
2021-11-12,Singapore,Rotterdam,Iron Ore,2342.09,1119.75,63.03,96.66,91.9,1,50.68,95.67
2021-11-13,Mumbai,Rotterdam,Steel,1721.47,1133.88,63.19,96.88,85.92,1,0.0,95.82
2021-11-14,Singapore,Rotterdam,Steel,2097.93,1149.09,63.66,97.17,90.31,0,33.26,96.57
2021-11-15,Singapore,Rotterdam,Iron Ore,2310.13,1153.22,63.88,97.77,85.42,1,59.46,98.12
2021-11-16,Mumbai,Rotterdam,Coal,1592.0,1158.95,64.02,97.76,87.35,0,34.14,96.68
2021-11-17,Singapore,Rotterdam,Steel,2101.53,1152.88,64.33,97.63,95.05,0,33.01,98.86
2021-11-18,Singapore,Rotterdam,Steel,1971.61,1163.27,64.51,97.59,87.36,0,24.38,95.79
2021-11-19,Singapore,Rotterdam,Steel,2257.02,1174.22,64.69,97.45,98.92,0,55.05,95.46
2021-11-20,Shanghai,Rotterdam,Coal,2326.98,1180.2,64.69,97.98,93.13,1,56.23,100.28
2021-11-21,Shanghai,Rotterdam,Coal,2519.2,1195.77,64.88,98.56,94.04,3,76.38,96.46
2021-11-22,Shanghai,Rotterdam,Iron Ore,2435.06,1199.76,65.19,98.84,92.36,0,14.11,95.53
2021-11-23,Mumbai,Rotterdam,Coal,1924.76,1211.04,65.23,99.35,97.75,1,45.59,94.94
2021-11-24,Mumbai,Dubai,Iron Ore,1762.79,1209.73,65.61,99.59,97.94,0,35.8,99.22
2021-11-25,Singapore,Rotterdam,Iron Ore,2510.19,1216.48,65.76,99.78,95.84,1,43.79,97.15
2021-11-26,Singapore,Rotterdam,Coal,1842.93,1222.11,65.8,99.9,97.12,0,30.76,97.34
2021-11-27,Mumbai,Rotterdam,Iron Ore,2104.8,1231.03,66.12,100.04,93.38,0,34.81,97.54
2021-11-28,Singapore,Rotterdam,Coal,2078.25,1235.26,66.25,99.87,97.3,0,52.74,99.35
2021-11-29,Shanghai,Rotterdam,Iron Ore,2574.95,1241.48,66.54,100.15,93.04,0,11.31,97.62
2021-11-30,Mumbai,Dubai,Coal,1538.86,1255.44,66.67,100.36,94.89,0,66.66,101.47
2021-12-01,Shanghai,Los Angeles,Coal,2163.92,1259.37,66.84,100.77,93.65,2,63.26,98.21
2021-12-02,Singapore,Rotterdam,Iron Ore,2238.78,1254.02,67.09,101.02,92.89,0,39.37,99.66
2021-12-03,Shanghai,Rotterdam,Steel,2819.91,1275.58,67.32,101.21,91.88,2,69.6,99.34
2021-12-04,Shanghai,Los Angeles,Iron Ore,2535.52,1294.28,67.2,101.22,97.82,1,26.22,98.14
2021-12-05,Mumbai,Dubai,Coal,1510.41,1291.64,67.22,101.47,102.19,0,30.03,97.37
2021-12-06,Shanghai,Los Angeles,Steel,2390.05,1304.93,67.54,101.88,101.65,0,38.18,98.81
2021-12-07,Shanghai,Rotterdam,Iron Ore,2918.58,1308.74,67.71,101.83,89.67,1,68.48,99.14
2021-12-08,Shanghai,Los Angeles,Iron Ore,2626.98,1318.74,67.82,102.09,102.55,0,39.3,97.58
2021-12-09,Mumbai,Rotterdam,Iron Ore,2098.92,1329.05,67.81,102.39,94.67,0,46.75,98.76
2021-12-10,Shanghai,Los Angeles,Steel,2355.71,1335.18,67.84,102.45,99.43,0,31.16,100.42
2021-12-11,Singapore,Rotterdam,Coal,2025.5,1336.97,67.73,102.54,92.06,0,47.3,101.74
2021-12-12,Singapore,Rotterdam,Iron Ore,3014.55,1339.55,67.91,102.85,97.46,3,89.16,99.98
2021-12-13,Mumbai,Rotterdam,Iron Ore,2219.76,1340.38,68.02,102.81,98.48,0,54.93,101.56
2021-12-14,Shanghai,Rotterdam,Iron Ore,2694.82,1341.93,68.07,103.14,89.65,0,38.78,97.89
2021-12-15,Singapore,Rotterdam,Iron Ore,2701.13,1349.64,68.26,103.16,100.28,0,50.13,99.95
2021-12-16,Mumbai,Dubai,Iron Ore,1990.81,1352.2,68.51,103.68,104.14,1,56.66,100.97
2021-12-17,Singapore,Rotterdam,Coal,2364.29,1365.98,69.02,104.51,96.7,1,55.6,97.68
2021-12-18,Singapore,Rotterdam,Coal,2391.73,1386.24,69.0,104.55,104.54,0,56.68,98.37
2021-12-19,Shanghai,Rotterdam,Iron Ore,2996.5,1390.0,69.37,104.93,96.96,0,56.57,101.77
2021-12-20,Shanghai,Los Angeles,Steel,2549.66,1400.34,69.72,105.0,102.32,0,38.09,97.77
2021-12-21,Singapore,Rotterdam,Coal,2195.25,1412.79,69.81,105.52,87.15,0,49.63,97.29
2021-12-22,Mumbai,Rotterdam,Steel,2172.8,1425.05,70.04,105.46,110.51,0,34.25,101.66
2021-12-23,Shanghai,Los Angeles,Coal,2588.81,1434.16,70.18,105.83,106.06,3,50.15,101.23
2021-12-24,Mumbai,Dubai,Iron Ore,2001.84,1448.62,70.41,105.87,97.33,0,35.96,100.15
2021-12-25,Shanghai,Rotterdam,Coal,2410.74,1461.02,70.84,106.07,89.07,0,38.86,99.5
2021-12-26,Mumbai,Dubai,Iron Ore,1905.07,1459.68,71.14,106.07,100.54,1,23.08,98.98
2021-12-27,Shanghai,Los Angeles,Coal,2437.11,1475.21,71.42,106.54,92.05,0,52.9,100.13
2021-12-28,Shanghai,Los Angeles,Iron Ore,2595.39,1490.89,71.56,106.58,101.67,0,0.0,102.15
2021-12-29,Shanghai,Los Angeles,Iron Ore,3067.0,1493.37,71.54,106.98,101.67,0,80.72,100.2
2021-12-30,Mumbai,Dubai,Iron Ore,1994.57,1502.28,71.72,107.15,95.08,0,62.53,103.16
2021-12-31,Shanghai,Los Angeles,Iron Ore,3160.28,1516.34,72.11,107.38,105.56,2,52.08,98.64
2022-01-01,Mumbai,Dubai,Steel,1933.44,1525.42,72.13,107.74,104.2,0,40.14,100.04
2022-01-02,Shanghai,Los Angeles,Iron Ore,3023.86,1542.6,72.18,107.81,105.22,0,44.54,99.58
2022-01-03,Mumbai,Rotterdam,Steel,2189.33,1570.11,72.41,108.12,100.56,0,31.16,98.58
2022-01-04,Shanghai,Los Angeles,Steel,2957.29,1572.4,72.47,108.76,93.61,2,58.89,100.05
2022-01-05,Mumbai,Dubai,Iron Ore,2162.42,1569.93,72.55,108.82,105.75,0,37.84,100.97
2022-01-06,Singapore,Rotterdam,Steel,2526.14,1580.92,72.69,109.37,99.68,0,38.59,101.2
2022-01-07,Shanghai,Los Angeles,Coal,2527.28,1595.24,72.7,110.0,94.25,2,58.72,103.74
2022-01-08,Singapore,Rotterdam,Iron Ore,2872.73,1601.93,72.75,110.05,108.13,0,20.3,101.25
2022-01-09,Mumbai,Rotterdam,Steel,2334.8,1622.06,73.06,109.95,112.04,1,48.59,102.34
2022-01-10,Shanghai,Rotterdam,Iron Ore,3048.27,1619.84,73.07,110.28,101.51,0,42.45,100.78
2022-01-11,Mumbai,Rotterdam,Iron Ore,2338.73,1633.84,73.03,110.39,112.68,0,41.93,103.27
2022-01-12,Shanghai,Los Angeles,Iron Ore,3024.47,1637.43,73.14,111.11,102.51,0,36.76,104.42
2022-01-13,Singapore,Rotterdam,Steel,2551.44,1659.59,73.45,111.37,100.32,0,57.07,101.68
2022-01-14,Singapore,Rotterdam,Coal,2289.78,1683.9,73.63,111.42,99.23,0,34.7,99.47
2022-01-15,Mumbai,Dubai,Coal,1846.65,1686.1,73.76,111.39,110.74,0,43.41,100.2
2022-01-16,Singapore,Rotterdam,Steel,2821.92,1690.0,73.96,111.91,98.82,0,59.46,101.51
2022-01-17,Mumbai,Dubai,Iron Ore,2075.25,1705.13,73.9,112.01,106.56,0,38.81,101.84
2022-01-18,Shanghai,Rotterdam,Steel,2918.2,1710.25,74.17,112.27,100.25,0,43.22,102.27
2022-01-19,Shanghai,Los Angeles,Steel,2973.09,1718.06,74.42,112.75,100.91,2,54.55,101.97
2022-01-20,Mumbai,Dubai,Steel,2002.99,1726.38,74.56,112.88,108.52,0,58.56,101.36
2022-01-21,Shanghai,Rotterdam,Iron Ore,3530.87,1719.1,74.9,113.11,101.63,2,52.13,100.46
2022-01-22,Singapore,Rotterdam,Steel,2758.24,1727.01,74.92,113.34,101.67,0,59.25,102.08
2022-01-23,Singapore,Rotterdam,Iron Ore,2970.8,1729.45,75.28,113.75,109.52,0,38.45,104.32
2022-01-24,Shanghai,Rotterdam,Steel,2795.2,1733.42,75.5,114.14,112.0,0,27.11,103.13
2022-01-25,Singapore,Rotterdam,Coal,2774.8,1752.81,75.64,114.32,107.39,1,58.19,102.47
2022-01-26,Shanghai,Rotterdam,Steel,3141.78,1750.55,75.82,114.57,101.05,1,43.43,103.27
2022-01-27,Mumbai,Dubai,Steel,2118.14,1764.78,75.99,114.71,101.93,0,49.31,101.24
2022-01-28,Mumbai,Dubai,Coal,1977.47,1770.2,76.36,114.57,105.03,2,15.06,101.09
2022-01-29,Shanghai,Rotterdam,Iron Ore,3251.72,1775.55,76.38,114.86,106.39,0,40.08,100.79
2022-01-30,Mumbai,Dubai,Iron Ore,2140.22,1789.39,76.44,115.56,100.0,0,33.11,101.79
2022-01-31,Mumbai,Dubai,Steel,2078.2,1799.56,76.78,115.56,108.7,3,48.05,101.4
2022-02-01,Mumbai,Dubai,Coal,2217.41,1811.49,76.86,115.59,105.66,1,39.7,103.9
2022-02-02,Mumbai,Rotterdam,Iron Ore,2818.9,1826.53,77.17,115.59,96.8,2,47.39,101.44
2022-02-03,Shanghai,Los Angeles,Steel,3044.19,1831.09,77.6,115.99,100.88,0,39.28,101.0
2022-02-04,Singapore,Rotterdam,Coal,2327.01,1833.32,77.71,116.31,103.14,0,19.49,105.18
2022-02-05,Mumbai,Rotterdam,Iron Ore,2815.7,1831.69,77.98,116.49,105.44,0,44.74,101.64
2022-02-06,Mumbai,Dubai,Iron Ore,2579.84,1832.04,77.98,116.46,115.39,0,60.49,102.61
2022-02-07,Shanghai,Rotterdam,Coal,2980.49,1862.51,78.26,116.69,107.27,1,52.21,103.11
2022-02-08,Mumbai,Dubai,Coal,1829.91,1879.25,78.45,116.51,102.01,0,52.13,100.78
2022-02-09,Shanghai,Los Angeles,Coal,2800.78,1875.13,78.68,116.74,107.45,0,56.42,104.39
2022-02-10,Mumbai,Dubai,Coal,1737.32,1871.15,78.74,117.16,104.72,0,58.55,103.55
2022-02-11,Shanghai,Rotterdam,Steel,3325.0,1881.5,78.65,117.04,108.24,0,68.05,104.98
2022-02-12,Shanghai,Los Angeles,Coal,2809.01,1892.28,78.88,116.85,109.64,0,32.51,101.68
2022-02-13,Mumbai,Dubai,Iron Ore,2295.66,1902.98,78.72,117.43,112.91,0,29.22,102.9
2022-02-14,Shanghai,Los Angeles,Iron Ore,3538.98,1907.14,78.82,117.47,106.87,1,59.75,102.86
2022-02-15,Singapore,Rotterdam,Steel,3080.7,1912.24,79.11,117.93,115.31,0,50.62,103.24
2022-02-16,Singapore,Rotterdam,Iron Ore,3523.52,1920.85,79.28,118.07,111.77,1,59.64,100.71
2022-02-17,Mumbai,Dubai,Iron Ore,2292.5,1927.42,79.71,118.21,103.81,0,68.34,103.11
2022-02-18,Shanghai,Los Angeles,Coal,2854.26,1915.45,80.01,118.49,118.52,0,40.17,100.85
2022-02-19,Shanghai,Rotterdam,Iron Ore,3819.94,1919.28,80.04,118.44,109.21,0,46.39,103.57
2022-02-20,Mumbai,Dubai,Steel,2043.22,1918.02,80.18,118.64,103.51,1,33.29,99.88
2022-02-21,Singapore,Rotterdam,Coal,2875.89,1924.86,80.31,118.71,116.06,0,72.03,100.34
2022-02-22,Singapore,Rotterdam,Coal,2908.04,1954.07,80.2,118.54,118.29,0,34.95,104.39
2022-02-23,Mumbai,Dubai,Steel,2266.1,1962.22,80.18,118.78,107.84,0,35.38,102.38
2022-02-24,Shanghai,Los Angeles,Coal,2744.48,1964.8,80.22,118.87,105.59,0,34.8,101.76
2022-02-25,Singapore,Rotterdam,Coal,2796.55,1977.14,80.03,118.98,107.35,1,38.33,105.19
2022-02-26,Shanghai,Los Angeles,Steel,3235.3,1985.85,80.16,118.82,111.88,1,37.06,103.81
2022-02-27,Singapore,Rotterdam,Coal,2640.68,1993.94,80.23,119.36,114.79,0,32.14,104.67
2022-02-28,Singapore,Rotterdam,Steel,2919.12,2003.4,80.09,119.72,111.35,0,19.51,103.15
2022-03-01,Mumbai,Rotterdam,Steel,2646.27,2024.32,80.26,120.09,109.09,1,36.22,107.45
2022-03-02,Singapore,Rotterdam,Iron Ore,3564.17,2019.62,80.47,120.15,116.16,0,69.23,102.56
2022-03-03,Shanghai,Rotterdam,Iron Ore,3621.51,2027.63,80.61,119.84,107.19,0,51.03,106.12
2022-03-04,Mumbai,Dubai,Coal,1947.19,2024.31,80.66,120.45,113.99,0,53.89,103.44
2022-03-05,Mumbai,Dubai,Coal,2073.07,2032.72,80.84,120.56,107.48,0,57.66,101.08
2022-03-06,Shanghai,Los Angeles,Steel,3538.18,2029.2,81.03,120.48,111.15,0,67.51,104.32
2022-03-07,Singapore,Rotterdam,Coal,2759.34,2029.55,81.17,120.7,108.5,1,21.43,104.1
2022-03-08,Shanghai,Rotterdam,Steel,3202.27,2030.75,81.13,121.1,108.86,0,21.55,102.08
2022-03-09,Shanghai,Los Angeles,Steel,3213.52,2041.98,81.25,121.19,107.32,0,27.94,102.3
2022-03-10,Mumbai,Rotterdam,Coal,2491.97,2052.62,81.51,121.61,116.0,1,40.95,103.67
2022-03-11,Shanghai,Los Angeles,Steel,3362.37,2045.81,81.5,121.98,105.67,0,35.49,104.26
2022-03-12,Shanghai,Los Angeles,Iron Ore,3483.67,2049.26,81.88,121.8,105.69,0,33.3,100.05
2022-03-13,Singapore,Rotterdam,Coal,2922.8,2046.46,81.87,121.72,120.06,0,43.29,105.36
2022-03-14,Mumbai,Rotterdam,Iron Ore,2870.86,2039.13,81.95,122.04,114.4,0,40.53,103.06
2022-03-15,Shanghai,Los Angeles,Coal,3110.57,2039.99,81.91,121.44,97.63,2,45.16,101.83
2022-03-16,Shanghai,Rotterdam,Steel,3319.89,2039.97,82.0,121.47,106.78,1,15.37,105.26
2022-03-17,Shanghai,Rotterdam,Coal,2926.53,2061.7,81.79,121.19,100.6,0,25.11,103.83
2022-03-18,Mumbai,Dubai,Iron Ore,2466.59,2067.33,81.76,121.13,104.94,1,39.76,105.7
2022-03-19,Mumbai,Rotterdam,Steel,2525.19,2058.33,81.65,121.12,94.05,0,36.29,104.55
2022-03-20,Mumbai,Rotterdam,Coal,2578.75,2055.69,81.71,121.08,109.09,2,39.05,103.91
2022-03-21,Mumbai,Dubai,Coal,2060.92,2065.6,81.9,121.0,104.1,0,32.64,103.7
2022-03-22,Shanghai,Los Angeles,Coal,2844.51,2083.9,82.04,120.77,110.14,0,23.04,104.66
2022-03-23,Mumbai,Rotterdam,Iron Ore,2925.16,2072.65,81.72,121.39,101.75,0,38.11,103.33
2022-03-24,Shanghai,Rotterdam,Iron Ore,3607.69,2058.91,82.06,121.89,110.31,0,23.9,102.68
2022-03-25,Shanghai,Rotterdam,Coal,3002.04,2075.03,82.13,121.64,107.85,0,27.27,104.88
2022-03-26,Singapore,Rotterdam,Steel,3027.68,2079.16,82.04,122.06,117.45,0,20.37,103.76
2022-03-27,Mumbai,Rotterdam,Steel,2826.82,2073.07,82.08,121.99,117.02,1,45.7,104.03
2022-03-28,Shanghai,Los Angeles,Iron Ore,3775.65,2078.06,82.12,122.04,113.9,0,27.0,105.62
2022-03-29,Mumbai,Dubai,Steel,2534.33,2057.54,82.04,122.04,108.35,2,69.6,103.82
2022-03-30,Mumbai,Dubai,Iron Ore,2607.54,2057.98,82.08,121.89,119.92,0,46.09,104.02
2022-03-31,Shanghai,Los Angeles,Coal,2946.92,2060.87,81.99,122.15,102.23,0,38.95,103.1
2022-04-01,Singapore,Rotterdam,Iron Ore,3561.09,2068.38,81.93,122.18,102.98,2,44.04,104.65
2022-04-02,Mumbai,Dubai,Iron Ore,2629.07,2060.24,81.83,122.06,109.58,0,45.71,104.52
2022-04-03,Mumbai,Rotterdam,Coal,2589.11,2060.75,81.61,121.73,121.27,1,58.36,105.35
2022-04-04,Singapore,Rotterdam,Steel,3350.71,2053.03,81.63,121.5,108.98,1,50.14,103.13
2022-04-05,Mumbai,Rotterdam,Iron Ore,3027.26,2054.6,81.7,121.07,109.06,0,64.06,103.31
2022-04-06,Shanghai,Rotterdam,Iron Ore,3605.18,2046.82,81.76,121.06,102.76,0,46.89,105.18
2022-04-07,Singapore,Rotterdam,Coal,2927.21,2042.79,81.87,120.73,114.68,0,53.7,104.36
2022-04-08,Mumbai,Dubai,Steel,2165.38,2033.91,81.9,120.64,114.7,0,42.0,102.61
2022-04-09,Singapore,Rotterdam,Iron Ore,3517.35,2038.05,81.79,120.95,113.86,0,50.13,105.92
2022-04-10,Singapore,Rotterdam,Coal,2733.37,2043.71,81.89,121.21,106.74,1,36.05,101.41
2022-04-11,Singapore,Rotterdam,Iron Ore,3289.2,2040.48,81.65,121.17,106.33,0,33.12,105.12
2022-04-12,Singapore,Rotterdam,Coal,2655.16,2039.29,81.48,121.1,103.37,0,45.24,102.03
2022-04-13,Mumbai,Rotterdam,Steel,2963.05,2026.06,81.3,121.52,110.22,0,45.13,106.75
2022-04-14,Shanghai,Rotterdam,Steel,3650.78,2021.87,81.41,121.6,104.36,3,71.61,101.59
2022-04-15,Shanghai,Los Angeles,Steel,3278.14,2019.53,81.51,121.46,103.84,0,56.51,105.62
2022-04-16,Singapore,Rotterdam,Steel,3069.89,2038.42,81.53,121.04,107.56,0,18.63,103.75
2022-04-17,Mumbai,Dubai,Iron Ore,2482.29,2027.3,81.64,121.07,107.19,0,25.38,103.31
2022-04-18,Singapore,Rotterdam,Iron Ore,3755.02,2036.65,81.45,121.21,106.9,2,59.44,104.11
2022-04-19,Mumbai,Dubai,Steel,2364.36,2042.12,81.44,120.97,111.87,2,45.13,104.76
2022-04-20,Mumbai,Rotterdam,Steel,3046.19,2041.72,81.36,120.97,109.88,0,90.67,102.44
2022-04-21,Mumbai,Dubai,Steel,2460.36,2053.0,81.42,120.79,107.99,1,55.74,102.55
2022-04-22,Shanghai,Los Angeles,Iron Ore,3546.28,2053.05,81.33,120.66,110.29,0,38.83,104.72
2022-04-23,Shanghai,Rotterdam,Steel,3605.5,2053.1,81.2,119.94,104.35,2,48.27,101.16
2022-04-24,Mumbai,Dubai,Steel,2181.07,2049.47,81.21,119.79,109.77,0,32.8,102.82
2022-04-25,Mumbai,Dubai,Steel,2141.86,2055.92,81.26,119.93,109.93,0,40.45,108.23
2022-04-26,Shanghai,Rotterdam,Coal,3138.4,2061.21,81.07,119.67,101.6,0,41.68,102.19
2022-04-27,Shanghai,Los Angeles,Steel,3321.47,2052.59,80.98,119.58,114.02,0,33.15,105.34
2022-04-28,Singapore,Rotterdam,Coal,2759.77,2038.3,80.73,119.28,104.56,1,43.9,102.71
2022-04-29,Mumbai,Dubai,Coal,2066.42,2032.79,80.26,119.25,109.34,0,60.16,104.32
2022-04-30,Shanghai,Rotterdam,Steel,3745.44,2022.38,80.2,119.08,114.63,2,76.77,104.5
2022-05-01,Mumbai,Rotterdam,Coal,2400.3,2017.74,80.19,118.72,113.35,0,43.78,105.18
2022-05-02,Shanghai,Rotterdam,Steel,3201.13,2023.37,80.13,118.92,108.81,0,19.88,103.16
2022-05-03,Mumbai,Rotterdam,Iron Ore,2986.34,2015.31,79.73,119.02,106.74,0,48.08,106.4
2022-05-04,Shanghai,Los Angeles,Iron Ore,3565.77,2010.45,79.57,118.73,113.2,0,63.31,102.5
2022-05-05,Singapore,Rotterdam,Iron Ore,3505.0,2006.26,79.12,118.72,111.74,1,68.55,103.7
2022-05-06,Shanghai,Rotterdam,Iron Ore,3780.97,2008.28,79.21,118.71,105.18,0,51.02,103.68
